Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,11*16*2018 3:01:25 PM
Stop of measurement:,11*21*2018 1:41:29 PM
Duration of Measurements:,4 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,204.6
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,11*16*2018 3:01:25 PM
Stop,11*20*2018 1:46:54 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.495050295434817
Dry soil weight [g]:,116
Additional Soil Paramters,
Density [g/cm3]:,1.17
Porosity [-]:,0.56
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
11*17*2018 9:13:22 AM,18.18,21.1,14.1,750.69,158.09,-6.92
11*17*2018 9:23:37 AM,18.32,21.28,14.12,750.64,158.04,-6.97
11*17*2018 9:33:53 AM,18.57,21.52,14.15,750.59,157.99,-7.02
11*17*2018 9:44:09 AM,18.76,21.71,14.18,750.53,157.93,-7.08
11*17*2018 9:54:09 AM,18.87,21.86,14.23,750.48,157.88,-7.13
11*17*2018 10:04:28 AM,19.05,22.08,14.28,750.43,157.83,-7.18
11*17*2018 10:14:30 AM,19.31,22.3,14.34,750.38,157.78,-7.23
11*17*2018 10:24:42 AM,19.5,22.5,14.39,750.33,157.73,-7.28
11*17*2018 10:34:44 AM,19.65,22.62,14.45,750.27,157.67,-7.34
11*17*2018 10:45:01 AM,19.85,22.85,14.5,750.21,157.61,-7.4
11*17*2018 10:55:03 AM,19.35,22.37,14.56,750.16,157.56,-7.45
11*17*2018 11:05:09 AM,18.79,21.77,14.61,750.12,157.52,-7.49
11*17*2018 11:15:09 AM,19.4,22.42,14.67,750.06,157.46,-7.55
11*17*2018 11:25:27 AM,19.93,22.95,14.73,750,157.4,-7.61
11*17*2018 11:35:29 AM,20.29,23.28,14.8,749.95,157.35,-7.66
11*17*2018 11:45:29 AM,20.51,23.49,14.85,749.9,157.3,-7.71
11*17*2018 11:55:30 AM,20.76,23.76,14.92,749.84,157.24,-7.77
11*17*2018 12:05:34 PM,20.99,24,14.98,749.78,157.18,-7.83
11*17*2018 12:15:38 PM,21.17,24.16,15.05,749.74,157.14,-7.87
11*17*2018 12:25:52 PM,21.52,24.52,15.12,749.66,157.06,-7.95
11*17*2018 12:36:11 PM,21.82,24.79,15.17,749.61,157.01,-8
11*17*2018 12:46:13 PM,22.09,25.06,15.2,749.55,156.95,-8.06
11*17*2018 12:56:17 PM,22.28,25.31,15.24,749.49,156.89,-8.12
