Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*4*2018 2:55:20 PM
Stop of measurement:,10*7*2018 6:14:07 PM
Duration of Measurements:,3 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,208.6
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*4*2018 2:55:20 PM
Stop,10*7*2018 6:04:04 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.570302943990688
Dry soil weight [g]:,101.5
Additional Soil Paramters,
Density [g/cm3]:,1.03
Porosity [-]:,0.61
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*4*2018 9:09:14 PM,10.74,14.21,17.73,752.51,155.91,-2.05
10*4*2018 9:19:29 PM,11.76,15.24,17.69,752.46,155.86,-2.1
10*4*2018 9:29:47 PM,12.29,15.73,17.65,752.4,155.8,-2.16
10*4*2018 9:40:05 PM,12.1,15.57,17.61,752.35,155.75,-2.21
10*4*2018 9:50:07 PM,13.15,16.59,17.57,752.3,155.7,-2.26
10*4*2018 10:00:12 PM,13.08,17.25,17.54,752.25,155.65,-2.31
10*4*2018 10:10:17 PM,11.82,15.27,17.5,752.2,155.6,-2.36
10*4*2018 10:20:19 PM,12.3,15.58,17.48,752.15,155.55,-2.41
10*4*2018 10:30:28 PM,12.74,16.19,17.46,752.1,155.5,-2.46
10*4*2018 10:40:36 PM,13.27,16.69,17.43,752.04,155.44,-2.52
10*4*2018 10:50:39 PM,13.87,17.31,17.41,751.99,155.39,-2.57
10*4*2018 11:00:44 PM,13.44,17.64,17.39,751.94,155.34,-2.62
10*4*2018 11:10:49 PM,14.54,17.97,17.36,751.89,155.29,-2.67
10*4*2018 11:20:54 PM,13.82,17.21,17.33,751.84,155.24,-2.72
10*4*2018 11:31:01 PM,14.44,17.84,17.31,751.79,155.19,-2.77
10*4*2018 11:41:04 PM,14.9,18.31,17.29,751.74,155.14,-2.82
10*4*2018 11:51:08 PM,15.22,18.63,17.28,751.69,155.09,-2.87
10*5*2018 12:01:13 AM,15.71,18.93,17.26,751.64,155.04,-2.92
10*5*2018 12:11:14 AM,15.42,18.89,17.24,751.59,154.99,-2.97
10*5*2018 12:21:19 AM,15.88,19.21,17.22,751.54,154.94,-3.02
10*5*2018 12:31:26 AM,16.41,19.79,17.2,751.49,154.89,-3.07
10*5*2018 12:41:43 AM,16.66,20.03,17.18,751.44,154.84,-3.12
10*5*2018 12:51:46 AM,16.97,20.33,17.15,751.39,154.79,-3.17
10*5*2018 1:01:53 AM,17.31,20.62,17.14,751.34,154.74,-3.22
10*5*2018 1:11:58 AM,17.6,21.01,17.11,751.28,154.68,-3.28
10*5*2018 1:22:03 AM,17.05,20.42,17.09,751.24,154.64,-3.32
10*5*2018 1:32:17 AM,17.69,21.07,17.06,751.19,154.59,-3.37
10*5*2018 1:42:26 AM,18.07,21.39,17.04,751.13,154.53,-3.43
10*5*2018 1:52:48 AM,18.48,21.83,17.01,751.09,154.49,-3.47
10*5*2018 2:02:49 AM,18.91,21.94,16.98,751.03,154.43,-3.53
10*5*2018 2:12:59 AM,19.28,22.59,16.96,750.99,154.39,-3.57
10*5*2018 2:23:16 AM,19.63,22.97,16.94,750.93,154.33,-3.63
10*5*2018 2:33:33 AM,19.88,23.24,16.92,750.89,154.29,-3.67
10*5*2018 2:43:35 AM,20.15,23.46,16.91,750.84,154.24,-3.72
10*5*2018 2:53:41 AM,20.57,23.93,16.89,750.79,154.19,-3.77
10*5*2018 3:03:44 AM,20.62,24.16,16.87,750.74,154.14,-3.82
10*5*2018 3:13:53 AM,21.14,24.49,16.85,750.69,154.09,-3.87
10*5*2018 3:24:14 AM,21.52,24.86,16.83,750.65,154.05,-3.91
10*5*2018 3:34:29 AM,21.81,25.16,16.81,750.59,153.99,-3.97
10*5*2018 3:44:34 AM,22.18,25.51,16.8,750.54,153.94,-4.02
10*5*2018 3:54:43 AM,22.54,25.88,16.78,750.49,153.89,-4.07
10*5*2018 4:04:51 AM,22.36,25.64,16.77,750.44,153.84,-4.12
10*5*2018 4:15:04 AM,22.91,26.21,16.75,750.39,153.79,-4.17
10*5*2018 4:25:11 AM,23.07,26.37,16.74,750.34,153.74,-4.22
10*5*2018 4:35:23 AM,23.51,26.85,16.73,750.29,153.69,-4.27
10*5*2018 4:45:34 AM,23.95,27.21,16.72,750.24,153.64,-4.32
10*5*2018 4:55:45 AM,24.39,27.68,16.7,750.19,153.59,-4.37
10*5*2018 5:05:53 AM,24.61,27.95,16.69,750.13,153.53,-4.43
10*5*2018 5:16:05 AM,25.01,28.36,16.69,750.09,153.49,-4.47
10*5*2018 5:26:16 AM,25.39,28.67,16.68,750.04,153.44,-4.52
10*5*2018 5:36:21 AM,25.72,29.02,16.67,750,153.4,-4.56
